ts_ms,cache,ttfb_ms,bytes,model,hash
1756165442121,api,731,509537,eleven_flash_v2,b71ed4ace4904fa89d408cc626ed72a06c5ae25c
1756168648808,api,605,294706,eleven_flash_v2,a8430021244405fe537a9937983b45bf14be4acb
1756169463441,disk,0,294706,eleven_flash_v2,a8430021244405fe537a9937983b45bf14be4acb
1756169472357,mem,0,294706,eleven_flash_v2,a8430021244405fe537a9937983b45bf14be4acb
1756170002926,api,608,278405,eleven_flash_v2,1b21a27d4f23cb1dee513fde266c304eb9281514
1756170008053,mem,0,278405,eleven_flash_v2,1b21a27d4f23cb1dee513fde266c304eb9281514
1756170009664,mem,0,278405,eleven_flash_v2,1b21a27d4f23cb1dee513fde266c304eb9281514
1756172307032,disk,0,278405,eleven_flash_v2,1b21a27d4f23cb1dee513fde266c304eb9281514
1756177201548,disk,0,278405,eleven_flash_v2,1b21a27d4f23cb1dee513fde266c304eb9281514
1756177716220,disk,0,278405,eleven_flash_v2,1b21a27d4f23cb1dee513fde266c304eb9281514
1756234674004,api,929,17181,eleven_turbo_v2,6c6a81c30fede03cf99d53d2c56d0cbe97afd7ff
1756248627052,api,1133,21360,eleven_turbo_v2,840a16268d4dc02e448f3095fbb734ab5e2aeb94
1756248721529,api,1036,7621112,eleven_turbo_v2,d373d7d4ab2475b4be67fe1b765eecc7b121972d
1756248731654,mem,0,7621112,eleven_turbo_v2,d373d7d4ab2475b4be67fe1b765eecc7b121972d
1756248816901,api,523,0,eleven_turbo_v2,aaf882033822f44cd9295f3ab8956a7b1d86ab41
1756248828945,api,544,0,eleven_turbo_v2,aaf882033822f44cd9295f3ab8956a7b1d86ab41
1756252642567,api,776,152182,eleven_turbo_v2,b729db3f07d403fb1303038bc31387afdd8ecf98
1756253190991,disk,0,152182,eleven_turbo_v2,b729db3f07d403fb1303038bc31387afdd8ecf98
1756255322743,disk,0,152182,eleven_turbo_v2,b729db3f07d403fb1303038bc31387afdd8ecf98
1756256654401,api,1046,1164061,eleven_turbo_v2,3f3b28724e2438220e2b6de6fdd8a56def88174b
1756256701106,api,792,1171584,eleven_turbo_v2,35ea5562c85eacb919a6028043e5a0e103f68b5c
